country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",08-12-2025 08:00:00,25.697189,85.245900,CO,72,140,133
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",08-12-2025 08:00:00,25.560083,87.553265,NO2,14,18,16
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",08-12-2025 08:00:00,11.654054,92.734055,SO2,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",08-12-2025 08:00:00,16.5150833,80.5181667,PM2.5,148,344,212
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",08-12-2025 08:00:00,16.5150833,80.5181667,NH3,2,4,3
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",08-12-2025 08:00:00,16.5150833,80.5181667,SO2,1,24,6
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",08-12-2025 08:00:00,26.987634,94.636574,SO2,7,10,9
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",08-12-2025 08:00:00,25.5626095,84.663264,NO2,4,9,7
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",08-12-2025 08:00:00,24.75746,84.366208,PM2.5,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",08-12-2025 08:00:00,24.75746,84.366208,SO2,12,14,13
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",08-12-2025 08:00:00,25.7808257,84.7446768,PM2.5,82,312,228
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",08-12-2025 08:00:00,25.7808257,84.7446768,SO2,20,23,21
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",08-12-2025 08:00:00,24.7955,84.9994,CO,34,110,41
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",08-12-2025 08:00:00,24.792403,84.992416,NO2,2,7,5
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",08-12-2025 08:00:00,22.1910172,83.5197009,PM10,31,295,93
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",08-12-2025 08:00:00,21.219665,81.630094,NO2,NA,NA,NA
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",08-12-2025 08:00:00,21.219665,81.630094,SO2,6,21,9
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",08-12-2025 08:00:00,21.237755,81.705301,NH3,2,2,2
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",08-12-2025 08:00:00,21.371751,81.664929,PM10,42,163,104
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",08-12-2025 08:00:00,21.371751,81.664929,NO2,8,24,16
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",08-12-2025 08:00:00,22.118125,83.140608,PM2.5,33,70,52
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",08-12-2025 08:00:00,22.118125,83.140608,NH3,6,6,6
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",08-12-2025 08:00:00,22.368195,82.746431,PM2.5,48,86,51
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",08-12-2025 08:00:00,22.368195,82.746431,OZONE,2,5,3
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",08-12-2025 08:00:00,22.348441,82.549611,CO,21,80,36
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",08-12-2025 08:00:00,22.126650,83.483212,PM10,26,102,71
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",08-12-2025 08:00:00,21.194815,81.314770,NO2,22,118,62
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",08-12-2025 08:00:00,21.185571,81.343175,NO2,18,23,20
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",08-12-2025 08:00:00,21.185571,81.343175,CO,21,22,22
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",08-12-2025 08:00:00,21.185571,81.343175,OZONE,6,14,12
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",08-12-2025 08:00:00,21.224231,81.408350,SO2,9,104,26
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",08-12-2025 08:00:00,22.08815,82.13737,PM2.5,34,96,60
India,Bihar,Munger,"Town Hall, Munger - BSPCB",08-12-2025 08:00:00,25.376776,86.471523,OZONE,14,30,20
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",08-12-2025 08:00:00,26.11442,85.39813,CO,32,134,57
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",08-12-2025 08:00:00,26.1403345,85.3650192,NO2,1,3,1
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",08-12-2025 08:00:00,26.1403345,85.3650192,CO,39,56,52
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",08-12-2025 08:00:00,25.586562,85.043586,PM10,116,237,160
India,Bihar,Patna,"Samanpura, Patna - BSPCB",08-12-2025 08:00:00,25.596727,85.085624,SO2,1,6,4
India,Bihar,Patna,"Samanpura, Patna - BSPCB",08-12-2025 08:00:00,25.596727,85.085624,OZONE,31,36,33
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",08-12-2025 08:00:00,25.892357,86.590325,PM10,84,183,126
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",08-12-2025 08:00:00,25.892357,86.590325,NH3,4,4,4
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",08-12-2025 08:00:00,25.892357,86.590325,SO2,11,19,17
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",08-12-2025 08:00:00,26.0881305,87.93840336,NO2,9,14,11
India,Bihar,Munger,"Town Hall, Munger - BSPCB",08-12-2025 08:00:00,25.376776,86.471523,PM2.5,93,308,164
India,Bihar,Munger,"Town Hall, Munger - BSPCB",08-12-2025 08:00:00,25.376776,86.471523,PM10,94,181,123
India,Bihar,Munger,"Town Hall, Munger - BSPCB",08-12-2025 08:00:00,25.376776,86.471523,NO2,4,5,5
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",08-12-2025 08:00:00,25.592539,85.227158,PM10,85,161,109
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",08-12-2025 08:00:00,25.592539,85.227158,OZONE,7,12,11
India,Bihar,Patna,"Muradpur, Patna - BSPCB",08-12-2025 08:00:00,25.619651,85.147382,SO2,7,11,9
India,Delhi,Delhi,"Alipur, Delhi - DPCC",08-12-2025 08:00:00,28.815329,77.153010,CO,58,80,68
India,Delhi,Delhi,"Alipur, Delhi - DPCC",08-12-2025 08:00:00,28.815329,77.153010,OZONE,12,60,21
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",08-12-2025 08:00:00,28.695381,77.181665,PM2.5,307,373,337
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",08-12-2025 08:00:00,30.735567,76.775714,PM10,70,135,99
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",08-12-2025 08:00:00,30.751462,76.762879,PM10,87,137,108
India,Delhi,Delhi,"Mundka, Delhi - DPCC",08-12-2025 08:00:00,28.684678,77.076574,CO,42,84,60
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",08-12-2025 08:00:00,28.60909,77.0325413,PM2.5,92,354,232
